Intent,例句
commonQ.assist,需要幫助pleese
commonQ.assist,需要幫忙
commonQ.assist,我需要一些信息
commonQ.assist,你會幫我嗎？
commonQ.assist,你還能做什麼？
commonQ.assist,你是做什麼？
commonQ.assist,你能幫我什麼？
commonQ.assist,你能做什麼？
commonQ.assist,你擅長什麼？
commonQ.assist,需要幫助PLZ
commonQ.assist,你怎麼能幫我
commonQ.assist,你能幫助我嗎？
commonQ.assist,你怎麼協助？
commonQ.assist,你怎麼能幫幫我？
commonQ.assist,你好嗎？
commonQ.assist,怎麼幫你？
commonQ.assist,你將如何幫助我？
commonQ.assist,我需要幫助
commonQ.assist,你能告訴一些信息嗎？
commonQ.assist,請幫幫我
commonQ.bot,這是機器人嗎？
commonQ.bot,有機器人和我聊天嗎？
commonQ.bot,是自動消息嗎？
commonQ.bot,基於計算機的pely
commonQ.bot,機器人還是人類？
commonQ.bot,Bot和我聊天？
commonQ.bot,你是系統生成的消息嗎？
commonQ.bot,你是機器人嗎？
commonQ.bot,你有機器嗎？
commonQ.bot,你只是電腦嗎？
commonQ.bot,你是機器人嗎？
commonQ.bot,你是一個人嗎？
commonQ.bot,你是機器嗎？
commonQ.bot,你是聊天機器人嗎？
commonQ.bot,你是機器人嗎？
commonQ.bot,這些自動消息是？
commonQ.bot,我在和機器人說話嗎？
commonQ.bot,你是男孩是女孩嗎？
commonQ.bot,你是機器人還是人類？
commonQ.bot,這是一台機器？
commonQ.bot,這是聊天機器人？
commonQ.bot,系統生成的回复
commonQ.bot,先生，你係統genretrd
commonQ.bot,這是基於計算機的響應
commonQ.bot,這是機器嗎？
commonQ.bot,你是人嗎？
commonQ.how,最近怎麼樣？
commonQ.how,你今天過的好嗎？
commonQ.how,你好嗎？
commonQ.how,這是怎麼回事？
commonQ.how,發生了什麼？
commonQ.how,Kya chal raha？
commonQ.how,日wassup？
commonQ.how,你好嗎？
commonQ.how,你還好嗎？
commonQ.how,你好嗎？
commonQ.how,你好嗎？
commonQ.how,你好嗎？
commonQ.just_details,只提供我的號碼
commonQ.just_details,只提供我的電子郵件
commonQ.just_details,僅提供我的聯繫方式
commonQ.just_details,只有在這裡給我聯繫
commonQ.just_details,我就在這裡提供我的號碼
commonQ.just_details,我就在這裡提供我的詳細信息
commonQ.name,你是誰？
commonQ.name,我能打電話給你什麼？
commonQ.name,你的名字？
commonQ.name,請告訴我你的名字？
commonQ.name,你在那裡嗎？
commonQ.name,有人在嗎？
commonQ.name,你叫什麼名字？
commonQ.name,你是阿比爾嗎？
commonQ.name,有人在嗎？
commonQ.name,你的名字是？
commonQ.name,誰在聊天？
