Need help pleese,需要幫助pleese,Need help pleese,commonQ.assist
Need help,需要幫忙,need help,commonQ.assist
I need some info,我需要一些信息,I need some information,commonQ.assist
Will you help me?,你會幫我嗎？,Will you help me?,commonQ.assist
What else can you do?,你還能做什麼？,What else can you do?,commonQ.assist
What do you do?,你是做什麼？,What is your job?,commonQ.assist
What can you help me with?,你能幫我什麼？,What can you help me?,commonQ.assist
What can you do?,你能做什麼？,what can you do?,commonQ.assist
What are you good at?,你擅長什麼？,What are you good at?,commonQ.assist
Need help plz,需要幫助PLZ,Need help with PLZ,commonQ.assist
How can you help me,你怎麼能幫我,How can you help me?,commonQ.assist
Can you help me?,你能幫助我嗎？,can you help me?,commonQ.assist
How can you assist?,你怎麼協助？,How can you help?,commonQ.assist
How can you help me?,你怎麼能幫幫我？,How can you help me?,commonQ.assist
How do you help?,你好嗎？,How are you?,commonQ.assist
How to help you?,怎麼幫你？,How to help you?,commonQ.assist
How will you assist me?,你將如何幫助我？,How will you help me?,commonQ.assist
i need help,我需要幫助,I need help,commonQ.assist
Can you tell some info,你能告訴一些信息嗎？,Can you tell some information?,commonQ.assist
Help me please,請幫幫我,please help me,commonQ.assist
Is this a bot?,這是機器人嗎？,Is this a robot?,commonQ.bot
Is there a bot chatting to me?,有機器人和我聊天嗎？,Have a robot chat with me?,commonQ.bot
Is it automated message?,是自動消息嗎？,Is it an automatic message?,commonQ.bot
Computer based pely,基於計算機的pely,Computer-based pely,commonQ.bot
Bot or human?,機器人還是人類？,Is the robot still human?,commonQ.bot
Bot is chatting with me?,Bot和我聊天？,Bot chat with me?,commonQ.bot
Are you system generated message?,你是系統生成的消息嗎？,Are you a system generated message?,commonQ.bot
Are you robot?,你是機器人嗎？,Are you a robot?,commonQ.bot
Are you machine?,你有機器嗎？,Do you have a machine?,commonQ.bot
Are you just computer?,你只是電腦嗎？,Are you just a computer?,commonQ.bot
Are you a robot?,你是機器人嗎？,Are you a robot?,commonQ.bot
Are you a person?,你是一個人嗎？,Are you alone?,commonQ.bot
Are you a machine?,你是機器嗎？,Are you a machine?,commonQ.bot
Are you a chatbot?,你是聊天機器人嗎？,Are you a chat robot?,commonQ.bot
Are you a bot?,你是機器人嗎？,Are you a robot?,commonQ.bot
Are these automated messages?,這些自動消息是？,What are these automatic messages?,commonQ.bot
Am I talking to a bot?,我在和機器人說話嗎？,Am I talking to the robot?,commonQ.bot
You are a boy are girl?,你是男孩是女孩嗎？,Are you a boy or a girl?,commonQ.bot
You are a bot or human?,你是機器人還是人類？,Are you a robot or a human?,commonQ.bot
This is a machine?,這是一台機器？,Is this a machine?,commonQ.bot
This is a chatbot?,這是聊天機器人？,Is this a chat bot?,commonQ.bot
System generated reply,系統生成的回复,System generated reply,commonQ.bot
Sir you system genretrd,先生，你係統genretrd,"Sir, your system genretrd",commonQ.bot
Is this computer based response,這是基於計算機的響應,This is a computer based response,commonQ.bot
Is this a machine?,這是機器嗎？,Is this a machine?,commonQ.bot
Are you a human?,你是人嗎？,are you human?,commonQ.bot
Hows life?,最近怎麼樣？,how are things?,commonQ.how
How was your day?,你今天過的好嗎？,how was your day?,commonQ.how
How you doin?,你好嗎？,How are you?,commonQ.how
Whats up?,這是怎麼回事？,How is this going?,commonQ.how
What's happening?,發生了什麼？,what happened?,commonQ.how
Kya chal raha?,Kya chal raha？,Kya chal raha?,commonQ.how
Wassup?,日wassup？,Day wassup?,commonQ.how
How you doing?,你好嗎？,How are you?,commonQ.how
Are you fine?,你還好嗎？,Are you ok?,commonQ.how
Are you good?,你好嗎？,How are you?,commonQ.how
How are you?,你好嗎？,How are you?,commonQ.how
How are you doing?,你好嗎？,How are you?,commonQ.how
Only providing my number,只提供我的號碼,Only provide my number,commonQ.just_details
Only providing my email,只提供我的電子郵件,Only provide my email,commonQ.just_details
Only providing my contact details,僅提供我的聯繫方式,Only provide my contact information,commonQ.just_details
Only here to give my contact,只有在這裡給我聯繫,Only contact me here.,commonQ.just_details
